Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.447s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27	ap-28	ap-29	ap-30	ap-31	ap-32	ap-33	ap-34	ap-35
103.000	0.094	0.730	0.071	0.118	0.389	0.024	0.130	1.001	1.236	0.695	1.001	0.518	0.000	0.106	0.000	0.141	0.989	0.106	0.165	0.483	0.141	0.000	0.342	0.094	0.424	1.001	0.801	0.365	1.001	0.247	0.000	0.506	0.047	0.200	0.824	0.141
104.000	0.000	1.025	0.330	0.106	0.754	0.165	0.389	1.001	0.942	0.730	1.001	0.106	0.000	0.094	0.012	0.000	0.601	0.118	0.012	1.272	0.118	0.024	1.107	0.059	0.648	1.001	0.118	0.024	1.001	0.553	0.000	0.966	0.624	0.059	0.765	0.106
105.000	0.000	1.107	0.118	0.000	0.165	0.000	0.012	1.001	0.730	0.294	1.001	0.848	0.000	0.871	0.495	0.012	0.977	0.212	0.012	1.083	0.188	0.012	0.294	0.047	0.648	1.001	0.942	0.459	1.001	0.165	0.000	0.188	0.012	0.153	0.695	0.000
106.000	0.000	0.636	0.236	0.200	0.824	0.000	0.848	1.001	0.836	0.283	1.001	0.636	0.024	0.200	0.012	0.353	0.400	0.047	0.483	0.718	0.353	0.141	0.671	0.000	0.236	1.001	1.095	0.000	1.001	0.565	0.024	0.024	0.283	0.330	0.377	0.259
107.000	0.742	1.083	0.165	0.224	0.612	0.000	0.742	1.001	0.330	0.836	1.001	0.412	0.318	0.553	0.000	0.177	0.801	0.141	0.236	0.707	0.200	0.000	0.130	0.000	1.319	1.001	0.907	0.271	1.001	0.024	0.047	0.377	0.389	0.565	0.871	0.059
108.000	0.236	0.424	0.106	0.247	0.188	0.000	0.330	1.001	0.695	0.330	1.001	1.001	0.130	0.954	0.094	0.035	0.683	0.483	0.389	0.601	0.342	0.165	0.330	0.188	0.860	1.001	0.730	0.283	1.001	0.589	0.247	0.400	0.024	0.130	0.424	0.118
109.000	0.247	0.707	0.035	0.153	1.072	0.000	0.436	1.001	0.094	0.306	0.989	0.765	0.000	0.047	0.000	0.012	0.671	0.177	0.059	0.330	0.236	0.012	0.059	0.000	0.742	0.989	0.412	0.330	0.989	0.459	0.106	0.000	0.000	0.000	0.271	0.200
110.000	0.306	0.966	0.000	0.389	1.001	0.000	0.648	0.989	0.848	0.707	1.001	0.377	0.071	0.495	0.000	0.094	0.059	0.035	0.130	0.683	0.000	0.000	0.071	0.000	0.742	1.001	0.695	0.824	1.001	0.447	0.035	0.153	0.118	0.400	0.966	0.071
111.000	0.495	0.436	0.059	0.082	0.518	0.000	0.636	1.001	0.000	0.024	1.001	0.695	0.024	0.000	0.000	0.000	1.166	0.224	0.071	0.765	0.082	0.118	0.553	0.130	0.612	1.001	0.035	0.636	1.001	0.294	0.247	0.330	0.071	0.000	0.141	0.000
112.000	0.059	0.671	0.530	0.683	0.942	0.000	0.330	1.001	1.484	0.447	1.001	0.683	0.000	1.001	0.047	0.000	0.883	0.212	0.012	0.530	0.130	0.271	0.777	0.271	0.400	1.001	0.353	0.506	1.001	0.471	0.188	0.836	0.000	0.059	0.012	0.082
113.000	0.330	0.471	0.000	0.082	0.636	0.000	0.777	1.001	0.024	0.942	1.001	0.636	0.024	0.000	0.000	0.659	0.813	0.000	0.259	0.365	0.000	0.153	0.824	0.059	0.601	1.001	1.095	0.919	1.001	0.400	0.577	0.954	0.188	0.047	0.683	0.000
114.000	0.212	0.130	0.259	0.094	1.201	0.012	0.848	1.001	0.271	0.789	1.001	0.589	0.342	0.742	0.012	0.012	0.389	0.000	0.000	0.000	0.000	0.024	0.424	0.377	0.165	1.001	0.848	0.094	1.001	0.659	0.000	0.648	0.259	0.000	0.389	0.130
115.000	0.318	0.506	0.141	0.624	0.671	0.212	0.754	1.001	0.283	0.000	1.001	0.754	0.047	0.648	0.000	0.000	0.659	0.094	0.012	0.589	0.094	0.000	0.636	0.059	1.189	1.001	0.801	0.707	1.001	0.082	0.000	0.836	0.024	0.283	0.059	0.177
116.000	0.236	0.930	0.000	0.000	0.824	0.000	0.860	1.001	0.447	0.071	1.001	0.177	0.024	0.836	0.012	0.000	0.577	0.200	0.071	0.342	0.130	0.000	0.612	0.000	0.577	1.001	0.730	0.612	1.001	0.542	0.000	0.188	0.024	0.024	0.695	0.000
117.000	0.000	0.860	0.459	0.141	0.612	0.000	0.389	1.001	0.919	0.177	1.001	0.813	0.224	0.577	0.495	0.024	0.553	0.377	0.177	0.813	0.000	0.000	0.553	0.412	0.471	1.001	0.106	0.306	1.001	0.483	0.012	1.095	0.436	0.271	0.895	0.094
118.000	0.082	0.165	0.224	0.177	1.025	0.236	0.506	1.001	0.071	0.035	1.001	0.188	0.024	0.530	0.000	0.000	0.412	0.000	0.024	0.907	0.365	0.000	0.707	0.047	0.082	1.001	0.353	0.130	1.001	0.412	0.012	0.000	0.153	0.177	0.648	0.247
119.000	0.000	0.000	0.106	0.353	0.153	0.059	1.378	1.001	0.047	1.178	1.001	0.436	0.542	0.459	0.000	0.236	0.553	0.047	0.047	0.671	0.000	0.000	0.000	0.000	0.530	1.001	0.624	0.553	1.001	0.707	0.000	0.059	0.047	0.424	0.954	0.000
120.000	0.000	0.000	0.000	0.188	0.518	0.000	0.695	1.001	0.542	0.212	1.001	0.683	0.082	0.977	0.000	0.000	0.824	0.188	0.353	0.200	0.059	0.153	0.518	0.082	0.271	1.001	0.283	0.601	1.001	0.200	0.000	0.601	0.000	0.000	0.259	0.059
