Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.641s)
CreateVariables () DONE !!!
Creating 6 APs 25.00 m length apart  20.00m width apart.
CreateApNodes () DONE !!!
Creating 0 CLs 30 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
00:00:00:00:00:01
00:00:00:00:00:02
00:00:00:00:00:03
00:00:00:00:00:04
00:00:00:00:00:05
00:00:00:00:00:06
CreateAdhocDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 400.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
202.00	0.00	-1.00	-1.00	-1.00	-1.00	8.97
203.00	0.00	-1.00	-1.00	-1.00	-1.00	15.69
204.00	0.00	-1.00	-1.00	-1.00	-1.00	15.25
205.00	0.00	-1.00	-1.00	-1.00	-1.00	17.86
206.00	0.00	-1.00	-1.00	-1.00	-1.00	18.17
207.00	0.00	-1.00	-1.00	-1.00	-1.00	17.36
208.00	0.00	-1.00	-1.00	-1.00	-1.00	18.51
209.00	0.00	-1.00	-1.00	-1.00	-1.00	17.52
210.00	0.00	-1.00	-1.00	-1.00	-1.00	18.99
211.00	0.00	-1.00	-1.00	-1.00	-1.00	17.75
212.00	0.00	-1.00	-1.00	-1.00	-1.00	16.73
213.00	0.00	-1.00	-1.00	-1.00	-1.00	10.48
214.00	0.00	-1.00	-1.00	-1.00	-1.00	9.28
215.00	0.00	-1.00	-1.00	-1.00	-1.00	18.21
216.00	0.00	-1.00	-1.00	-1.00	-1.00	15.20
217.00	0.00	-1.00	-1.00	-1.00	-1.00	12.69
218.00	0.00	-1.00	-1.00	-1.00	-1.00	7.42
219.00	0.00	-1.00	-1.00	-1.00	-1.00	18.31
220.00	0.00	-1.00	-1.00	-1.00	-1.00	15.17
221.00	0.00	-1.00	-1.00	-1.00	-1.00	13.27
222.00	0.00	-1.00	-1.00	-1.00	-1.00	17.71
223.00	0.00	-1.00	-1.00	-1.00	-1.00	18.50
224.00	0.00	-1.00	-1.00	-1.00	-1.00	18.94
225.00	0.00	-1.00	-1.00	-1.00	-1.00	17.53
226.00	0.00	-1.00	-1.00	-1.00	-1.00	14.77
227.00	0.00	-1.00	-1.00	-1.00	-1.00	18.25
228.00	0.00	-1.00	-1.00	-1.00	-1.00	10.92
229.00	0.00	-1.00	-1.00	-1.00	-1.00	22.01
230.00	0.00	-1.00	-1.00	-1.00	-1.00	13.83
231.00	0.00	-1.00	-1.00	-1.00	-1.00	8.37
232.00	0.00	-1.00	-1.00	-1.00	-1.00	17.81
233.00	0.00	-1.00	-1.00	-1.00	-1.00	14.91
234.00	0.00	-1.00	-1.00	-1.00	-1.00	19.16
235.00	0.00	-1.00	-1.00	-1.00	-1.00	8.13
236.00	0.00	-1.00	-1.00	-1.00	-1.00	11.69
Interrupted 
