Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.798s)
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
109.000	1.001	0.942	0.860	0.000	0.000	0.907	0.883	0.059	0.000	0.000	0.495	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.094	0.000	0.000	0.000	0.000
110.000	0.989	0.742	0.518	0.000	0.000	0.589	0.730	0.130	0.012	0.012	0.342	0.236	0.000	0.000	0.000	0.071	0.035	0.000	0.000	0.000	0.082	0.118	0.000	0.000	0.000
111.000	1.001	0.977	0.930	0.000	0.000	0.553	0.506	0.353	0.000	0.000	0.212	0.047	0.012	0.012	0.000	0.047	0.035	0.024	0.000	0.000	0.035	0.000	0.000	0.000	0.000
112.000	1.001	0.612	0.495	0.000	0.000	0.742	0.707	0.141	0.000	0.000	0.565	0.094	0.000	0.047	0.000	0.165	0.024	0.000	0.000	0.000	0.177	0.000	0.000	0.000	0.000
113.000	1.001	1.072	0.895	0.000	0.000	0.565	0.424	0.047	0.000	0.000	0.306	0.212	0.047	0.024	0.000	0.259	0.000	0.000	0.000	0.000	0.212	0.000	0.000	0.000	0.000
114.000	1.001	0.636	0.707	0.000	0.000	0.836	0.365	0.177	0.000	0.000	0.553	0.059	0.012	0.000	0.000	0.412	0.000	0.000	0.000	0.000	0.459	0.000	0.000	0.000	0.000
115.000	1.001	0.871	0.671	0.000	0.000	0.659	0.683	0.188	0.000	0.000	0.283	0.082	0.000	0.000	0.000	0.306	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000
116.000	1.001	0.718	0.412	0.000	0.000	0.813	0.789	0.082	0.012	0.035	0.318	0.247	0.000	0.000	0.000	0.259	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.000	0.000
117.000	1.001	0.730	0.930	0.000	0.000	0.200	0.247	0.153	0.000	0.000	0.000	0.024	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
118.000	1.001	0.730	0.153	0.000	0.000	0.648	0.271	0.000	0.000	0.000	0.412	0.082	0.000	0.000	0.000	0.353	0.000	0.000	0.000	0.000	0.224	0.000	0.000	0.000	0.000
119.000	1.001	1.048	0.954	0.000	0.000	0.848	0.860	0.094	0.000	0.000	0.459	0.141	0.000	0.000	0.000	0.224	0.059	0.000	0.000	0.000	0.047	0.000	0.000	0.000	0.000
120.000	1.001	0.695	0.271	0.000	0.000	0.813	0.671	0.000	0.000	0.000	0.377	0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
